hotel,modelo,order,seasonal_order,MAE,RMSE,MAPE
HOTEL_1,SARIMA,"(1, 1, 1)","(2, 0, 1, 7)",0.12295315200694218,0.1471836943325421,28.31967318048604
HOTEL_2,SARIMA,"(2, 1, 3)","(2, 0, 1, 7)",0.16729845777131863,0.22187142127975276,32.00132946062293
HOTEL_3,SARIMA,"(1, 1, 3)","(1, 0, 0, 7)",0.09796864624420994,0.13681322091575146,19.17690564490773
