fecha,hotel,year,canal,ocup_total,shap_value,family
2023-03-04,HOTEL_1,2023,is_weekend,0.30851063829787234,-8.1889855e-05,calendario
2023-03-05,HOTEL_1,2023,is_weekend,0.23404255319148937,-0.0012655295,calendario
2023-03-06,HOTEL_1,2023,is_weekend,0.2553191489361702,-0.00017830788,calendario
2023-03-07,HOTEL_1,2023,is_weekend,0.1702127659574468,-0.0004698964,calendario
2023-03-08,HOTEL_1,2023,is_weekend,0.1595744680851064,-0.00015966324,calendario
2023-03-09,HOTEL_1,2023,is_weekend,0.20212765957446807,-0.0006089477,calendario
2023-03-10,HOTEL_1,2023,is_weekend,0.2978723404255319,0.00014534849,calendario
2023-03-11,HOTEL_1,2023,is_weekend,0.5425531914893617,-0.0014749815,calendario
2023-03-12,HOTEL_1,2023,is_weekend,0.2553191489361702,0.00040688872,calendario
2023-03-13,HOTEL_1,2023,is_weekend,0.6382978723404256,0.0008116693,calendario
2023-03-14,HOTEL_1,2023,is_weekend,0.6063829787234043,0.00073529046,calendario
2023-03-15,HOTEL_1,2023,is_weekend,0.6595744680851063,0.00031148898,calendario
2023-03-16,HOTEL_1,2023,is_weekend,0.723404255319149,0.00020014402,calendario
2023-03-17,HOTEL_1,2023,is_weekend,0.6063829787234043,0.00019444538,calendario
2023-03-18,HOTEL_1,2023,is_weekend,0.574468085106383,5.5559816e-05,calendario
2023-03-19,HOTEL_1,2023,is_weekend,0.4787234042553192,-0.0006698965,calendario
2023-03-20,HOTEL_1,2023,is_weekend,0.6170212765957447,0.00025166743,calendario
2023-03-21,HOTEL_1,2023,is_weekend,0.6702127659574468,0.00034422122,calendario
2023-03-22,HOTEL_1,2023,is_weekend,0.723404255319149,0.00051483203,calendario
2023-03-23,HOTEL_1,2023,is_weekend,0.6382978723404256,0.00061028404,calendario
2023-03-24,HOTEL_1,2023,is_weekend,0.5957446808510638,0.00080647256,calendario
2023-03-25,HOTEL_1,2023,is_weekend,0.648936170212766,-0.0013667142,calendario
2023-03-26,HOTEL_1,2023,is_weekend,0.5425531914893617,-0.00089240674,calendario
2023-03-27,HOTEL_1,2023,is_weekend,0.648936170212766,0.0011099133,calendario
2023-03-28,HOTEL_1,2023,is_weekend,0.5851063829787234,0.0005123075,calendario
2023-03-29,HOTEL_1,2023,is_weekend,0.5638297872340425,0.00024845818,calendario
2023-03-30,HOTEL_1,2023,is_weekend,0.5425531914893617,0.0004016872,calendario
2023-03-31,HOTEL_1,2023,is_weekend,0.3617021276595745,5.323357e-05,calendario
2023-04-01,HOTEL_1,2023,is_weekend,0.5,-0.00033616455,calendario
2023-04-02,HOTEL_1,2023,is_weekend,0.3723404255319149,-0.0009852559,calendario
2023-04-03,HOTEL_1,2023,is_weekend,0.3829787234042553,-3.245814e-05,calendario
2023-04-04,HOTEL_1,2023,is_weekend,0.2872340425531915,0.0001325237,calendario
2023-04-05,HOTEL_1,2023,is_weekend,0.43617021276595747,-0.0011664713,calendario
2023-04-06,HOTEL_1,2023,is_weekend,0.3723404255319149,4.3281743e-05,calendario
2023-04-07,HOTEL_1,2023,is_weekend,0.39361702127659576,0.00014631797,calendario
2023-04-08,HOTEL_1,2023,is_weekend,0.3191489361702128,-0.0012369372,calendario
2023-04-09,HOTEL_1,2023,is_weekend,0.20212765957446807,0.0002148376,calendario
